symbol,close,pct_chg,change_5d,change_20d,vol_ratio,ma5,ma20,ma60,amount,score
301618,381.0,0.0,180.15,255.38,3.83,297.33,169.7,128.36,212.01,186.1
001279,178.01,0.0,158.14,241.67,3.57,108.81,68.96,54.61,470.85,174.6
603395,160.99,0.0,143.7,199.24,2.97,89.55,67.77,54.57,309.57,160.3
002272,37.0,0.0,52.45,239.14,0.74,30.3,17.88,15.0,30.59,128.8
301487,98.02,0.0,131.07,60.53,2.08,58.29,66.04,55.61,123.24,127.5
002273,50.8,0.0,52.37,225.43,0.98,41.61,24.54,19.96,31.54,126.0
300946,141.6,0.0,98.79,111.44,2.63,89.85,73.43,69.11,178.62,124.8
300940,106.03,0.0,103.08,93.49,2.19,83.99,58.31,56.41,186.46,122.9
300881,78.0,0.0,78.82,115.47,1.9,53.22,43.36,43.6,133.6,117.6
300879,69.99,0.0,74.19,109.18,2.31,47.97,39.12,38.43,190.89,114.5
300880,77.2,0.0,67.1,116.55,1.87,53.09,42.5,46.16,174.47,113.2
603257,99.9,0.0,65.1,105.89,2.82,72.36,57.02,53.05,145.86,110.2
600722,28.79,-0.72,72.81,91.42,2.6,24.74,17.93,16.06,2.15,110.2
301015,56.16,0.0,53.86,114.6,3.25,43.45,34.93,29.08,123.55,107.5
603382,55.97,0.0,63.56,77.51,3.11,39.95,33.47,33.2,124.02,103.9
301522,79.85,0.0,62.07,79.96,3.45,59.74,48.11,43.33,503.14,103.8
002051,31.97,0.0,52.46,97.83,1.99,26.18,19.9,16.55,82.76,103.6
300784,127.0,0.0,46.47,108.74,2.66,97.08,76.85,62.49,160.06,103.3
603285,43.5,0.0,55.8,86.46,3.76,33.38,26.03,22.51,126.67,102.6
001328,56.64,0.0,58.83,76.78,2.57,42.73,34.87,34.78,159.53,101.9
001378,75.98,0.0,57.08,78.23,3.88,63.4,49.79,42.05,188.93,101.5
000813,15.44,0.39,71.18,58.52,0.4,12.99,9.84,11.72,1.02,100.3
300952,65.25,0.0,54.07,77.26,3.24,49.47,40.42,34.02,140.3,100.1
603124,74.5,0.0,50.84,80.39,3.04,56.23,46.34,44.19,180.91,99.4
301025,31.66,0.0,65.93,48.01,2.25,23.46,22.65,19.1,67.4,99.0
300959,119.5,0.0,51.77,73.84,2.38,90.95,76.19,68.34,157.36,98.5
001221,80.0,0.0,63.9,48.53,2.87,60.32,51.94,57.29,174.11,98.3
300955,70.0,0.0,55.66,60.0,2.1,52.83,46.48,50.35,117.32,97.3
301613,117.28,0.0,50.34,67.16,3.95,92.29,76.67,66.25,224.14,96.6
300992,49.98,0.0,51.41,65.39,2.75,39.05,32.61,29.6,62.24,96.6
301565,38.98,0.0,41.18,83.0,2.56,31.58,25.32,21.76,179.94,96.1
301585,73.0,0.0,45.36,74.64,2.33,58.69,47.85,49.86,119.08,96.1
301608,94.0,0.0,41.87,80.01,2.37,76.77,60.99,60.61,127.79,95.8
301533,75.5,0.0,45.19,73.48,4.11,64.97,51.68,44.19,125.58,95.8
300958,60.0,0.0,43.3,77.04,3.36,48.95,41.12,35.37,141.36,95.7
301631,206.99,0.0,47.81,67.52,3.28,167.55,139.23,129.02,214.79,95.6
301248,42.75,9.42,53.78,40.67,2.55,34.69,31.82,31.09,72.29,95.5
301110,79.0,25.2,27.38,69.97,2.42,64.99,57.4,49.77,87.84,95.5
300997,31.0,0.0,47.97,65.25,2.56,24.68,21.12,19.24,198.0,95.2
001356,23.28,0.0,51.46,58.04,2.28,17.2,15.03,15.11,240.07,95.2
001308,62.39,27.74,25.28,67.27,3.08,54.08,44.35,37.58,128.76,94.9
002175,52.03,0.0,37.28,84.9,3.7,44.15,34.02,31.59,37.41,94.9
603376,64.45,0.0,44.31,68.15,3.47,50.63,42.74,40.18,169.36,94.4
300967,30.95,0.0,46.68,63.76,2.85,24.47,20.77,18.69,105.55,94.4
300863,158.45,0.0,66.95,22.36,1.6,129.96,99.91,128.1,109.48,94.3
300928,87.03,0.0,46.76,63.1,2.76,69.6,57.14,49.28,110.54,94.3
301222,59.18,0.0,47.95,59.09,2.75,49.02,40.59,33.67,95.13,94.0
301392,104.06,0.0,33.24,86.22,2.48,84.62,70.81,56.06,124.54,93.5
301336,101.72,0.0,36.65,78.9,2.93,83.15,68.24,57.02,67.5,93.4
301429,33.05,14.96,40.94,46.56,2.92,26.97,23.16,23.23,67.23,93.2
